lat,lon,ort,bezeichnung,gemeindeschluessel
48.42757015,11.05275556,LK Aichach-Friedberg,Landkreis,9771
48.35428718,10.73208453,LK Augsburg,Landkreis,9772
48.5964038,10.52776417,LK Dillingen a.d.Donau,Landkreis,9773
48.35281385,10.38113121,LK Günzburg,Landkreis,9774
48.29822655,10.14115581,LK Neu-Ulm,Landkreis,9775
47.60516495,9.882861365,LK Lindau,Landkreis,9776
47.76995906,10.63973163,LK Ostallgäu,Landkreis,9777
48.03981304,10.38923276,LK Unterallgäu,Landkreis,9778
48.80693204,10.7123442,LK Donau-Ries,Landkreis,9779
47.57270756,10.25862291,LK Oberallgäu,Landkreis,9780
49.25138239,6.957296528,LK Stadtverband Saarbrücken,Landkreis,10041
49.49576456,6.680484797,LK Merzig-Wadern,Landkreis,10042
49.37570165,7.117203207,LK Neunkirchen,Landkreis,10043
49.35534155,6.775543339,LK Saarlouis,Landkreis,10044
49.24869939,7.242221249,LK Saar-Pfalz-Kreis,Landkreis,10045
49.51957311,7.100433245,LK Sankt Wendel,Landkreis,10046
52.50153158,13.40185024,Berlin,Kreisfreie Stadt,11000
52.40271509,12.51933378,SK Brandenburg a.d.Havel,Kreisfreie Stadt,12051
51.772693,14.36621885,SK Cottbus,Kreisfreie Stadt,12052
52.32476308,14.49034875,SK Frankfurt (Oder),Kreisfreie Stadt,12053
52.42617849,13.02854917,SK Potsdam,Kreisfreie Stadt,12054
52.82322798,13.70373113,LK Barnim,Landkreis,12060
52.04230693,13.81994078,LK Dahme-Spreewald,Landkreis,12061
51.61227102,13.45958892,LK Elbe-Elster,Landkreis,12062
52.62082081,12.62834691,LK Havelland,Landkreis,12063
52.60672381,14.14646433,LK Märkisch-Oderland,Landkreis,12064
52.90683265,13.20530222,LK Oberhavel,Landkreis,12065
51.61630052,13.9436173,LK Oberspreewald-Lausitz,Landkreis,12066
52.24400851,14.21905943,LK Oder-Spree,Landkreis,12067
52.99142304,12.63595895,LK Ostprignitz-Ruppin,Landkreis,12068
52.24629471,12.6891435,LK Potsdam-Mittelmark,Landkreis,12069
53.10932673,11.96182693,LK Prignitz,Landkreis,12070
51.75859324,14.43312857,LK Spree-Neiße,Landkreis,12071
52.07318431,13.2760182,LK Teltow-Fläming,Landkreis,12072
53.20590307,13.86129862,LK Uckermark,Landkreis,12073
54.14638839,12.14174712,SK Rostock,Kreisfreie Stadt,13003
53.62151005,11.41652995,SK Schwerin,Kreisfreie Stadt,13004
53.54369275,13.00246062,LK Mecklenburgische Seenplatte,Landkreis,13071
53.91204551,12.22083383,LK Rostock,Landkreis,13072
54.28420295,12.99152542,LK Vorpommern-Rügen,Landkreis,13073
53.82151223,11.25210947,LK Nordwestmecklenburg,Landkreis,13074
53.78951116,13.78069636,LK Vorpommern-Greifswald,Landkreis,13075
53.45004704,11.53414161,LK Ludwigslust-Parchim,Landkreis,13076
50.82630369,12.9118299,SK Chemnitz,Kreisfreie Stadt,14511
50.60889842,12.94507247,LK Erzgebirgskreis,Landkreis,14521
50.95581664,13.13750681,LK Mittelsachsen,Landkreis,14522
50.45679294,12.23499962,LK Vogtlandkreis,Landkreis,14523
50.7507748,12.52580551,LK Zwickau,Landkreis,14524
51.06644429,13.78344907,SK Dresden,Kreisfreie Stadt,14612
51.26891358,14.23100852,LK Bautzen,Landkreis,14625
51.22561775,14.75079681,LK Görlitz,Landkreis,14626
51.23939775,13.48290068,LK Meißen,Landkreis,14627
50.91671794,13.87343405,LK Sächsische Schweiz-Osterzgebirge,Landkreis,14628
51.3422386,12.37477176,SK Leipzig,Kreisfreie Stadt,14713
51.22143667,12.59949087,LK Leipzig,Landkreis,14729
51.47286508,12.77939676,LK Nordsachsen,Landkreis,14730
51.85373809,12.23105596,SK Dessau-Roßlau,Kreisfreie Stadt,15001
51.47980191,11.96849683,SK Halle,Kreisfreie Stadt,15002
52.11659764,11.64148202,SK Magdeburg,Kreisfreie Stadt,15003
52.68004816,11.22704527,LK Altmarkkreis Salzwedel,Landkreis,15081
51.79544503,12.14320207,LK Anhalt-Bitterfeld,Landkreis,15082
52.2207123,11.34783843,LK Börde,Landkreis,15083
51.14722563,11.88342243,LK Burgenlandkreis,Landkreis,15084
51.82129589,10.95854382,LK Harz,Landkreis,15085
52.26078983,12.02651884,LK Jerichower Land,Landkreis,15086
51.53569018,11.35635847,LK Mansfeld-Südharz,Landkreis,15087
51.42567108,11.86547404,LK Saalekreis,Landkreis,15088
51.85185919,11.64272562,LK Salzlandkreis,Landkreis,15089
52.69677817,11.83953435,LK Stendal,Landkreis,15090
51.82014007,12.70158824,LK Wittenberg,Landkreis,15091
50.98325269,11.02022481,SK Erfurt,Kreisfreie Stadt,16051
50.89401708,12.08269619,SK Gera,Kreisfreie Stadt,16052
50.9242638,11.58701125,SK Jena,Kreisfreie Stadt,16053
50.61160285,10.68817756,SK Suhl,Kreisfreie Stadt,16054
50.97834717,11.31787228,SK Weimar,Kreisfreie Stadt,16055
50.98967606,10.30010232,SK Eisenach,Kreisfreie Stadt,16056
51.3836492,10.25348539,LK Eichsfeld,Landkreis,16061
51.50227798,10.73090674,LK Nordhausen,Landkreis,16062
50.8858017,10.21070395,LK Wartburgkreis,Landkreis,16063
51.18523871,10.55179556,LK Unstrut-Hainich-Kreis,Landkreis,16064
51.32476308,10.9848332,LK Kyffhäuserkreis,Landkreis,16065
50.63070769,10.40504341,LK Schmalkalden-Meiningen,Landkreis,16066
50.91066058,10.69376272,LK Gotha,Landkreis,16067
51.15780806,11.15475118,LK Sömmerda,Landkreis,16068
50.43400275,10.73409041,LK Hildburghausen,Landkreis,16069
50.73793376,10.96635749,LK Ilm-Kreis,Landkreis,16070
50.971572,11.37355327,LK Weimarer Land,Landkreis,16071
50.41463055,11.13295266,LK Sonneberg,Landkreis,16072
50.63779796,11.30911625,LK Saalfeld-Rudolstadt,Landkreis,16073
50.90417214,11.73153078,LK Saale-Holzland-Kreis,Landkreis,16074
50.58084802,11.71057373,LK Saale-Orla-Kreis,Landkreis,16075
50.74845955,12.07407057,LK Greiz,Landkreis,16076
50.95642466,12.39913134,LK Altenburger Land,Landkreis,16077
,,,,
